List Date,"Author (Last, First)",Title,Pub Date,Publisher,ISBN,Top Pick,Hall of Fame,Debut,Year-End Favorite List,Genre,Annotation,Nominator/Library,,,,,,,,,,,
2021/03, March 2021,,,,,,,,,,,,,,,,,,,,,,
2021/03,"Bennett, SJ",The Windsor Knot: A Novel,3/9/2021,William Morrow,9780063050006,,,,,,"“When a mysterious death occurs at Windsor Castle, Her Majesty Queen Elizabeth and Private Secretary Rozie, must solve the case when MI5 and the police head in the wrong direction. A great cast of characters and a wonderful sense of setting make a fun and entertaining read. For readers who loved Hope Never Dies and Tuesday Mooney Talks to Ghosts.”","Jennifer Williams, Normal Public Library, Normal, IL",,,,,,,,,,,
2021/03,"Briggs, Patricia",Wild Sign,3/16/2021,Ace,9780440001584,,x,,,,"“Mated werewolves Charles and Anna investigate a malevolent presence that has inexplicably made an entire community vanish in northern California. In this latest Alpha & Omega installment, Briggs again creates a vivid world where the commonplace and the supernatural reside together.”","Linda Tilden, Mount Laurel Public Library, Mount Laurel, NJ",,,,,,,,,,,
2021/03,"Desai, Sara",The Dating Plan,3/16/2021,Berkley Jove,9780593100585,,,,,,"“Daisy is shocked at a tech conference when she runs into Liam, who stood her up at her high school prom and then disappeared. To save her employer and Liam’s family legacy, they must fake an engagement and marriage while trying not to fall in love with each other. A glorious whirlwind of a romcom with South Asian American and Irish American families providing background drama and entertainment. Daisy and Liam are lovably imperfect in this quick escapist read. Give to readers who liked Take a Hint, Dani Brownand The Right Swipe.”","Laura Bonds, Harris County Public Library, Houston, TX",,,,,,,,,,,
2021/03,"Doller, Trish",Float Plan,3/2/2021,St. Martin's Griffin,9781250767943,,,x,,,"After the death of her fiancé, Anna decides to complete the sailing voyage they had planned, alone. This is a heartfelt story of navigating through grief, and finding oneself and a new direction in life along the way. Good for fans of Pretending and The Fifteen Wonders of Daniel Green.","Sandra Woodbury, Burlington Public Library, Burlington, MA",,,,,,,,,,,
2021/03,"Finlay, Alex",Every Last Fear: A Novel,3/2/21,Minotaur Books,9781250268822,,,,,,"“A mystery wrapped in a mystery, this tightly plotted thriller changes perspective and travels through time to explore a family torn apart by tragedy, with unexpected twists and turns. The arrest of the oldest Pine son for his girlfriend's murder rocked their small town, was the subject of a high profile true crime documentary, and is followed years later by an even greater tragedy. Could these events be connected? Who is really the murderer? A gripping novel for fans of Mary Kubica or Peter Swanson.”","Maggie Thomann, Northbrook Public Library, Northbrook, IL",,,,,,,,,,,
2021/03,"Glover, Nicole",The Conductors,3/2/2021,John Joseph Adams/Mariner Books,9780358197058,,,x,,,"Hetty and Benjy meet as Underground Railroad conductors, settling in Pennsylvania where they’re known for their celestial magic and problem solving. Glover does an incredible job of world building in this supernatural mystery, merging details of post-Civil War history with people who are inherently magical. Her cast is almost exclusively Black, and the characters are rich and fully realized, with Hetty and Benjy’s relationship showcased as a lovely progression of romantic ideals. For readers of N. K. Jemisin and Victor LaValle.”","Rachel Reddick, Denver Public Library, Denver, CO",,,,,,,,,,,
2021/03,"Greenidge, Kaitlyn",Liberte: A Novel,3/20/2021,Algonquin Books,9781616207014,,,,,,"“Libertie is a Black girl living with her mother, a doctor who helps slaves in their run to freedom. Libertie thinks her mother is herself enslaved by her work, but after she marries and moves to the Caribbean, things seem less clear. For readers who enjoyed Washington Black and Underground Railroad.”","Marie Byars, Sno Isle Public Library, Oak Harbor, WA",,,,,,,,,,,
2021/03,"Hibbert, Talia","Act Your Age, Eve Brown: A Novel",3/9/2021,Avon,9780062941275,,x,,,,"“Eve Brown thinks she’s a failure, constantly flitting from one job to another. When her parents ask her to commit to something, she runs--and ends up in a charming B&B, where the uptight owner desperately needs her help. This is a sweet, funny love story about learning to appreciate yourself.”","Beth DeGeer, Bartlesville Public Library, Bartlesville, OK",,,,,,,,,,,
2021/03,"Kelly, Martha Hall",Sunflower Sisters: A Novel,3/30/2021,Ballantine Books,9781524796402,,x,,,,“Kelly ends her trilogy tracing The Lilac Girls protagonist Caroline Ferriday’s family with a story centered in the Civil War era. Kelly weaves her careful research into a compelling novel with fascinating depth and a nod toward the impactful role of women throughout history.”,"MarySue Waterman, Westport Library, Westport, CT",,,,,,,,,,,
