,lr_my,author,title,pub_date,publisher,isbn,lr_top,lr_hof,debut,lr_yfav,genre,annotation,nom_lib_lr,unnamed:_13,unnamed:_14,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23
0,2021/03, March 2021,,,,,,,,,,,,,,,,,,,,,,
16,2021/02,  February 2021,,,,,,,,,,,,,,,,,,,,,,
30,2021/01, January 2021,,,,,,,,,,,,,,,,,,,,,,
42,2020/12, December 2020,,,,,,,,,,,,,,,,,,,,,,
56,2020/11, November 2020,,,,,,,,,,,,,,,,,,,,,,
69,2020/10, October 2020,,,,,,,,,,,,,,,,,,,,,,
86,2020/09, September 2020,,,,,,,,,,,,,,,,,,,,,,
103,2020/08,  August 2020,,,,,,,,,,,,,,,,,,,,,,
116,2020/07,  July 2020,,,,,,,,,,,,,,,,,,,,,,
130,2020/06,  June 2020,,,,,,,,,,,,,,,,,,,,,,
146,2020/05,  May 2020,,,,,,,,,,,,,,,,,,,,,,
158,2020/04,  April 2020,,,,,,,,,,,,,,,,,,,,,,
169,2020/03,  March 2020,,,,,,,,,,,,,,,,,,,,,,
183,2020/02,  February 2020,,,,,,,,,,,,,,,,,,,,,,
195,2020/01, January 2020,,,,,,,,,,,,,,,,,,,,,,
209,2019/12, December 2019,,,,,,,,,,,,,,,,,,,,,,
220,2019/11,  November 2019,,,,,,,,,,,,,,,,,,,,,,
233,2019/10,  October 2019,,,,,,,,,,,,,,,,,,,,,,
249,2019/09,  September 2019,,,,,,,,,,,,,,,,,,,,,,
261,2019/08,  August 2019,,,,,,,,,,,,,,,,,,,,,,
274,2019/07,  July 2019,,,,,,,,,,,,,,,,,,,,,,
291,2019/06,  June 2019,,,,,,,,,,,,,,,,,,,,,,
302,2019/05,  May 2019,,,,,,,,,,,,,,,,,,,,,,
316,2019/04,  April 2019,,,,,,,,,,,,,,,,,,,,,,
327,2019/03,  March 2019,,,,,,,,,,,,,,,,,,,,,,
340,2019/02,  February 2019,,,,,,,,,,,,,,,,,,,,,,
353,2019/01, January 2019,,,,,,,,,,,,,,,,,,,,,,
368,2018/11,  November 2018,,,,,,,,,,,,,,,,,,,,,,
383,2018/10,  October 2018,,,,,,,,,,,,,,,,,,,,,,
395,2018/09,  September 2018,,,,,,,,,,,,,,,,,,,,,,
406,2018/08, August 2018,,,,,,,,,,,,,,,,,,,,,,
417,2018/07, July 2018,,,,,,,,,,,,,,,,,,,,,,
428,2018/06, June 2018,,,,,,,,,,,,,,,,,,,,,,
439,2018/05, May 2018,,,,,,,,,,,,,,,,,,,,,,
450,2018/04, April 2018,,,,,,,,,,,,,,,,,,,,,,
461,2018/03, March 2018,,,,,,,,,,,,,,,,,,,,,,
472,2018/02, February 2018,,,,,,,,,,,,,,,,,,,,,,
483,2018/01, January 2018,,,,,,,,,,,,,,,,,,,,,,
494,2017/11, November 2017,,,,,,,,,,,,,,,,,,,,,,
505,2017/10, October 2017,,,,,,,,,,,,,,,,,,,,,,
516,2017/09, September 2017,,,,,,,,,,,,,,,,,,,,,,
527,2017/08, August 2017,,,,,,,,,,,,,,,,,,,,,,
