,isbn,predicted_genre
242,9780062878342,1.0
243,9781250047328,1.0
244,9781524796747,3.0
245,9781984823793,4.0
246,9780451489425,1.0
247,9781984818232,2.0
248,9781250317995,1.0
249,9780812992861,1.0
250,9781984803788,6.0
251,9780062878090,1.0
252,9780062858085,4.0
253,9781501188770,2.0
254,9780440000860,3.0
255,9781250142863,2.0
256,9781524744588,5.0
257,9781250219657,3.0
258,9781984802194,6.0
259,9781982135669,1.0
260,9780062855312,4.0
261,9780062390011,2.0
262,9780062692078,1.0
263,9780525620754,4.0
264,9781525834257,1.0
265,9781524745141,2.0
266,9780399563058,1.0
267,9780451491879,6.0
268,9780399182105,1.0
269,9780385537070,5.0
270,9780062872838,6.0
271,9781524759780,3.0
272,9781250174611,2.0
273,9781594634734,6.0
274,9780525619246,1.0
275,9781984802798,1.0
276,9781984803252,1.0
277,9781492689386,6.0
278,9780778307747,1.0
279,9781501133480,1.0
280,9781250126108,3.0
281,9780425281291,4.0
282,9780062839053,6.0
283,9780062862822,1.0
284,9781328974648,2.0
285,9780451490827,6.0
286,9781501128035,6.0
287,9781250195524,4.0
288,9781250316776,1.0
289,9781250295637,6.0
290,9781984853752,1.0
291,9781492671527,1.0
292,9780525539889,1.0
293,9780385543897,1.0
294,9781250200358,6.0
295,9781683319979,1.0
296,9781250120922,2.0
297,9781524796372,5.0
298,9780374156022,1.0
299,9780385541381,3.0
300,9781400069996,1.0
301,9781984822178,1.0
302,9781635572582,4.0
303,9780525511380,1.0
304,9781501196010,3.0
305,9780451491725,3.0
306,9781328577856,2.0
307,9780525521877,1.0
308,9780399587047,3.0
309,9780451492159,5.0
310,9780778369356,4.0
311,9780451490711,2.0
312,9781524798628,1.0
313,9780778369103,1.0
314,9780802129031,6.0
315,9781250137661,1.0
316,9780062358202,1.0
317,9781984802439,1.0
318,9781250105684,3.0
319,9781524799014,1.0
320,9781626728080,1.0
321,9780525622109,1.0
322,9780544808256,1.0
323,9781250301697,3.0
324,9780062740373,2.0
325,9781635570298,4.0
326,9781250202444,3.0
327,9781101885994,4.0
328,9781101990513,3.0
329,9781492666868,5.0
330,9780345540027,2.0
331,9781250133731,3.0
332,9781501190070,3.0
333,9781616206772,1.0
334,9781524799717,1.0
335,9781501197406,1.0
336,9781328473011,1.0
337,9780765399298,4.0
338,9780440000457,2.0
339,9780743298070,4.0
340,9780812994162,1.0
341,9780399586101,1.0
342,9780525509509,1.0
343,9781984823014,1.0
344,9780385544238,1.0
345,9780374123697,2.0
346,9780399593512,2.0
347,9781250067869,1.0
348,9780525511748,1.0
349,9780316491341,1.0
350,9781328987822,1.0
351,9781524747800,2.0
352,9781250069825,1.0
353,9781250066206,2.0
354,9780316449717,4.0
355,9780062663849,2.0
356,9781250087300,1.0
357,9780802128782,1.0
358,9780735224629,2.0
359,9780399587689,6.0
360,9780062684561,1.0
361,9781451649390,1.0
362,9781476740188,1.0
364,9780525574682,1.0
365,9781501194900,6.0
366,9780316176637,1.0
367,9781250193162,1.0
368,9780778330783,2.0
369,9781501165856,6.0
370,9781250182265,3.0
371,9780756414764,4.0
372,9780451492678,2.0
373,9781250295187,6.0
374,9780812997415,1.0
375,9781492657965,2.0
376,9780425283523,2.0
377,9780451489111,3.0
378,9780440000785,1.0
379,9781524742959,1.0
380,9781250164193,3.0
381,9780451489395,1.0
382,9780399178788,3.0
383,9781250191984,3.0
384,9781492665274,6.0
385,9781250295163,4.0
386,9780316547185,3.0
387,9780399584466,3.0
388,9780385542722,1.0
389,9781101966310,3.0
390,9780425286166,1.0
391,9781681777665,2.0
392,9780399180989,4.0
393,9781501170065,1.0
394,9781250170750,3.0
395,9780525521228,1.0
396,9781501160790,1.0
397,9780399178924,1.0
398,9781250154194,1.0
399,9780451490803,6.0
400,9780062676788,2.0
401,9780525520375,1.0
402,9781250151339,1.0
403,9781250086082,1.0
404,9780451490346,6.0
405,9780451488411,2.0
406,9780735214767,3.0
407,9780374228194,3.0
408,9780804178020,3.0
409,9781501153198,3.0
410,9781492656623,1.0
411,9781101967386,1.0
412,9780062696793,4.0
413,9780399585326,2.0
414,9781501156212,2.0
415,9780735218727,1.0
416,9781683690139,4.0
417,9781501154645,3.0
418,9780399180163,1.0
419,9781631494130,1.0
420,9780316556347,4.0
421,9780399592867,1.0
422,9780062427052,3.0
423,9780451495327,1.0
424,9780399587924,1.0
425,9781594488405,1.0
426,9780385542418,2.0
427,9780425281314,1.0
428,9781250144843,3.0
429,9781476717807,4.0
430,9780062389923,2.0
431,9780451490537,3.0
432,9780062686664,2.0
433,9780812996067,1.0
434,9781250074256,1.0
435,9780451476203,2.0
436,9780399586934,2.0
437,9780525522874,6.0
438,9780062678966,3.0
439,9780312577230,1.0
440,9781250105639,2.0
441,9780425284124,4.0
442,9781616201340,1.0
443,9780399592881,1.0
444,9780399585968,1.0
445,9780399590504,1.0
446,9781101885963,4.0
447,9781492646617,1.0
448,9780735213180,1.0
449,9780062678416,3.0
450,9780399587665,6.0
451,9781250130921,2.0
452,9780393608533,1.0
453,9780399585272,2.0
454,9780765393586,4.0
455,9780399562457,1.0
456,9780399586064,6.0
457,9781400069903,1.0
458,9780062678102,1.0
459,9780399593482,2.0
460,9780062694058,1.0
461,9781627792769,1.0
462,9780062663726,1.0
463,9781250124029,5.0
464,9780316435314,1.0
465,9780553448122,1.0
466,9780062313119,1.0
467,9781250087270,1.0
468,9780062667571,3.0
469,9780393249897,1.0
470,9781476716732,1.0
471,9781101946152,1.0
472,9780062663115,1.0
473,9781501137471,4.0
474,9780451488756,1.0
475,9780062693983,1.0
476,9780803741492,1.0
477,9780062659057,2.0
478,9780804176750,1.0
479,9780735214316,1.0
480,9780778328735,1.0
481,9780062685346,1.0
482,9780735224292,1.0
483,9781501162893,6.0
484,9780374203108,1.0
485,9781250106490,1.0
486,9781524741990,1.0
487,9780735223493,1.0
488,9780393254815,1.0
489,9780393635027,1.0
490,9781250066190,2.0
491,9780399178481,1.0
492,9781250141439,2.0
493,9781492647454,1.0
494,9780385541787,3.0
495,9781616205041,1.0
496,9780812989465,3.0
497,9781250121288,2.0
498,9780399174131,1.0
499,9781476789323,1.0
500,9780525954460,1.0
501,9780062105714,1.0
502,9780385343299,1.0
503,9781101985366,2.0
504,9781501156007,3.0
505,9781616205225,1.0
506,9781101990483,2.0
507,9780425284025,4.0
508,9780451495587,6.0
509,9780062645227,2.0
510,9780765392039,1.0
511,9780735216525,1.0
512,9780062654199,1.0
513,9781501139239,1.0
514,9781101987797,1.0
515,9781501116841,2.0
516,9780062289254,1.0
517,9780062661098,1.0
518,9780393609394,1.0
519,9780062651259,5.0
520,9780735220683,6.0
521,9781616206888,1.0
522,9780062129383,3.0
523,9780778330165,4.0
524,9781492649359,1.0
525,9780307959577,1.0
526,9781501160769,1.0
527,9780062460226,6.0
528,9780451493583,1.0
529,9780385534246,1.0
530,9780345527868,2.0
531,9781681773643,2.0
532,9781101886724,1.0
533,9780385350907,1.0
534,9780812989403,1.0
535,9780399585012,3.0
536,9780062469687,1.0
537,9781492635826,1.0
538,9781101875681,1.0
539,9780399574634,1.0
540,9781612195971,1.0
541,9780553391961,6.0
542,9781101985595,1.0
543,9781501154829,1.0
544,9780062563668,5.0
545,9780812989885,1.0
546,9780062271631,2.0
547,9780393609097,1.0
548,9780399162107,1.0
549,9780399563089,1.0
550,9780425284155,4.0
551,9780812998269,6.0
552,9780062356260,1.0
553,9781101988299,3.0
554,9781101985137,1.0
555,9781101906750,4.0
556,9781101885932,4.0
557,9781101905609,2.0
558,9780425285046,3.0
559,9781250105608,2.0
560,9780812997279,3.0
561,9781250111173,3.0
562,9781616205812,5.0
563,9780385353540,1.0
564,9780062427021,3.0
565,9780062451941,5.0
566,9781400069880,1.0
567,9780385541527,1.0
568,9780062225559,1.0
569,9780804178808,2.0
570,9780374534974,4.0
571,9781476799209,1.0
572,9780062290427,4.0
573,9780399174490,2.0
574,9780062656285,1.0
