,isbn,variable,value
0,9780063050006,genre_0,mystery fiction
1,9780440001584,genre_0,fantasy fiction
2,9780593100585,genre_0,love stories
3,9781250767943,genre_0,love stories
4,9781250268822,genre_0,suspense fiction
5,9780358197058,genre_0,mystery fiction
6,9781616207014,genre_0,
7,9780062941275,genre_0,
8,9781524796402,genre_0,
9,9780778311010,genre_0,
10,9780062943477,genre_0,
11,9780525539766,genre_0,
12,9781250249258,genre_0,horror fiction
13,9780062980038,genre_0,suspense fiction
14,9781250759665,genre_0,suspense fiction
15,9781250241702,genre_0,mystery fiction
16,9781250174666,genre_0,science fiction
17,9780593099940,genre_0,love stories
18,9781250178602,genre_0,historical fiction
19,9781250232427,genre_0,mystery fiction
20,9781982134198,genre_0,historical fiction
21,9780063005631,genre_0,
22,9781335912794,genre_0,
23,9780451492180,genre_0,
24,9780062878151,genre_0,
25,9780778311027,genre_0,
26,9780593158807,genre_0,war stories
27,9780593099483,genre_0,love stories
28,9781984881663,genre_0,suspense fiction
29,9780399182280,genre_0,domestic fiction
30,9781250245496,genre_0,love stories
31,9781982151591,genre_0,
32,9781250213594,genre_0,novels
33,9781635575422,genre_0,adventure fiction
34,9781951142247,genre_0,mystery fiction
35,9781250772800,genre_0,science fiction
36,9780593201602,genre_0,mystery fiction
37,9780593200124,genre_0,love stories
38,9781683691686,genre_0,
39,9781250273017,genre_0,suspense fiction
40,9781492682721,genre_0,mystery fiction
41,9780062457400,genre_0,
42,9781984804785,genre_0,fantasy fiction
43,9780062933966,genre_0,
44,9780593191200,genre_0,love stories
45,9781525810008,genre_0,
46,9780063016408,genre_0,
47,9781728215693,genre_0,biographical fiction
48,9780525520351,genre_0,
49,9781250624161,genre_0,love stories
50,9780778389330,genre_0,
51,9780593101902,genre_0,love stories
52,9781250269546,genre_0,mystery fiction
53,9780063000803,genre_0,
54,9781594487330,genre_0,
55,9780062955456,genre_0,mystery fiction
56,9780593230954,genre_0,
57,9781335430991,genre_0,
58,9780062662620,genre_0,
59,9780593198629,genre_0,love stories
60,9780593198124,genre_0,
61,9781984803160,genre_0,
62,9781641292696,genre_0,
63,9781982100599,genre_0,love stories
64,9781984806130,genre_0,love stories
65,9780062667632,genre_0,
66,9781250767028,genre_0,
67,9780063005549,genre_0,
68,9780062942852,genre_0,
69,9780593133842,genre_0,
70,9780735224650,genre_0,mystery fiction
71,9780316422048,genre_0,fantasy fiction
72,9781982108847,genre_0,occult fiction
73,9781982137335,genre_0,suspense fiction
74,9780593132852,genre_0,love stories
75,9781982123949,genre_0,love stories
76,9780062881922,genre_0,suspense fiction
77,9781534437678,genre_0,fantasy fiction
78,9780765387561,genre_0,
79,9780778310150,genre_0,
80,9781501160837,genre_0,
81,9780062872937,genre_0,
82,9780593199305,genre_0,fantasy fiction
83,9781635575637,genre_0,
84,9780062982650,genre_0,
85,9780593101605,genre_0,love stories
86,9781984805409,genre_0,love stories
87,9781984805706,genre_0,love stories
88,9780525658184,genre_0,
89,9780525559474,genre_0,
90,9780062969651,genre_0,
91,9780593128480,genre_0,fantasy fiction
92,9780062968500,genre_0,
93,9781984818355,genre_0,
94,9781250198709,genre_0,
95,9781501188817,genre_0,suspense fiction
96,9780062878366,genre_0,
97,9780062890078,genre_0,
98,9780062959928,genre_0,
99,9781524744618,genre_0,
100,9781250219688,genre_0,suspense fiction
101,9781524733452,genre_0,political fiction
102,9780062356345,genre_0,
103,9781984803276,genre_0,
104,9781250313225,genre_0,fantasy fiction
105,9781250769862,genre_0,
106,9780062858108,genre_0,
107,9780593230251,genre_0,
108,9780451464415,genre_0,fantasy fiction
109,9781250142894,genre_0,mystery fiction
110,9781250219367,genre_0,
111,9781538715918,genre_0,
